"annotation_id","annotator","created_at","id","label","lead_time","text","updated_at"
2,"1","2025-01-26T13:32:31.229939Z",140,"[{""start"":0,""end"":12,""text"":""डायरेक्टोरेट"",""labels"":[""NOUN""]},{""start"":13,""end"":17,""text"":""जनरल"",""labels"":[""ADJ""]},{""start"":18,""end"":20,""text"":""ऑफ"",""labels"":[""ADP""]},{""start"":21,""end"":26,""text"":""सिविल"",""labels"":[""ADJ""]},{""start"":27,""end"":33,""text"":""एविएशन"",""labels"":[""NOUN""]},{""start"":35,""end"":39,""text"":""DGCA"",""labels"":[""PROPN""]},{""start"":41,""end"":43,""text"":""ने"",""labels"":[""PART""]},{""start"":44,""end"":47,""text"":""जेट"",""labels"":[""PROPN""]},{""start"":48,""end"":54,""text"":""एयरवेज"",""labels"":[""PROPN""]},{""start"":55,""end"":57,""text"":""को"",""labels"":[""ADP""]},{""start"":58,""end"":61,""text"":""एयर"",""labels"":[""NOUN""]},{""start"":62,""end"":68,""text"":""ऑपरेटर"",""labels"":[""NOUN""]},{""start"":69,""end"":79,""text"":""सर्टिफिकेट"",""labels"":[""NOUN""]},{""start"":81,""end"":84,""text"":""AOC"",""labels"":[""PROPN""]},{""start"":89,""end"":93,""text"":""दिया"",""labels"":[""VERB""]},{""start"":86,""end"":88,""text"":""दे"",""labels"":[""VERB""]},{""start"":94,""end"":96,""text"":""है"",""labels"":[""VERB""]}]",247.97199999999998,"डायरेक्टोरेट जनरल ऑफ सिविल एविएशन (DGCA) ने जेट एयरवेज को एयर ऑपरेटर सर्टिफिकेट (AOC) दे दिया है।","2025-01-26T13:32:31.229951Z"
3,"1","2025-01-26T13:39:31.659351Z",141,"[{""start"":7,""end"":16,""text"":""रिपोर्ट्स"",""labels"":[""NOUN""]},{""start"":0,""end"":6,""text"":""मीडिया"",""labels"":[""NOUN""]},{""start"":17,""end"":19,""text"":""के"",""labels"":[""ADP""]},{""start"":20,""end"":26,""text"":""अनुसार"",""labels"":[""ADP""]},{""start"":109,""end"":111,""text"":""के"",""labels"":[""ADP""]},{""start"":27,""end"":30,""text"":""देश"",""labels"":[""NOUN""]},{""start"":31,""end"":33,""text"":""के"",""labels"":[""ADP""]},{""start"":34,""end"":35,""text"":""5"",""labels"":[""NUM""]},{""start"":36,""end"":44,""text"":""म्यूचुअल"",""labels"":[""ADJ""]},{""start"":45,""end"":48,""text"":""फंड"",""labels"":[""NOUN""]},{""start"":49,""end"":53,""text"":""हाउस"",""labels"":[""NOUN""]},{""start"":54,""end"":57,""text"":""SBI"",""labels"":[""PROPN""]},{""start"":59,""end"":63,""text"":""HDFC"",""labels"":[""PROPN""]},{""start"":65,""end"":69,""text"":""कोटक"",""labels"":[""PROPN""]},{""start"":71,""end"":77,""text"":""आदित्य"",""labels"":[""PROPN""]},{""start"":78,""end"":83,""text"":""बिरला"",""labels"":[""PROPN""]},{""start"":84,""end"":86,""text"":""और"",""labels"":[""CONJ""]},{""start"":87,""end"":92,""text"":""ICICI"",""labels"":[""PROPN""]},{""start"":93,""end"":104,""text"":""प्रूडेंशियल"",""labels"":[""PROPN""]},{""start"":105,""end"":108,""text"":""LIC"",""labels"":[""PROPN""]},{""start"":112,""end"":116,""text"":""एंकर"",""labels"":[""NOUN""]},{""start"":117,""end"":123,""text"":""निवेशक"",""labels"":[""NOUN""]},{""start"":124,""end"":129,""text"":""होंगे"",""labels"":[""VERB""]}]",418.742,"मीडिया रिपोर्ट्स के अनुसार देश के 5 म्यूचुअल फंड हाउस SBI, HDFC, कोटक, आदित्य बिरला और ICICI प्रूडेंशियल LIC के एंकर निवेशक होंगे।","2025-01-26T13:39:31.659365Z"
4,"1","2025-01-26T13:42:07.862781Z",142,"[{""start"":0,""end"":5,""text"":""रेलवे"",""labels"":[""NOUN""]},{""start"":6,""end"":17,""text"":""रिक्रूटमेंट"",""labels"":[""NOUN""]},{""start"":18,""end"":23,""text"":""बोर्ड"",""labels"":[""NOUN""]},{""start"":30,""end"":36,""text"":""सोमवार"",""labels"":[""NOUN""]},{""start"":25,""end"":28,""text"":""RRB"",""labels"":[""PROPN""]},{""start"":37,""end"":41,""text"":""यानी"",""labels"":[""CONJ""]},{""start"":42,""end"":44,""text"":""16"",""labels"":[""NUM""]},{""start"":45,""end"":50,""text"":""अगस्त"",""labels"":[""NOUN""]},{""start"":51,""end"":53,""text"":""को"",""labels"":[""ADP""]},{""start"":54,""end"":66,""text"":""नॉन-टेक्निकल"",""labels"":[""ADJ""]},{""start"":67,""end"":73,""text"":""पॉपुलर"",""labels"":[""ADJ""]},{""start"":74,""end"":81,""text"":""कैटेगरी"",""labels"":[""NOUN""]},{""start"":87,""end"":93,""text"":""एग्जाम"",""labels"":[""NOUN""]},{""start"":82,""end"":86,""text"":""NTPC"",""labels"":[""PROPN""]},{""start"":94,""end"":96,""text"":""की"",""labels"":[""ADV""]},{""start"":97,""end"":104,""text"":""आंसर-की"",""labels"":[""NOUN""]},{""start"":105,""end"":109,""text"":""जारी"",""labels"":[""VERB""]},{""start"":110,""end"":115,""text"":""करेगा"",""labels"":[""VERB""]}]",153.312,"रेलवे रिक्रूटमेंट बोर्ड (RRB) सोमवार यानी 16 अगस्त को नॉन-टेक्निकल पॉपुलर कैटेगरी NTPC एग्जाम की आंसर-की जारी करेगा।","2025-01-26T13:42:07.862797Z"
5,"1","2025-01-26T13:46:40.315032Z",143,"[{""start"":0,""end"":3,""text"":""PLI"",""labels"":[""PROPN""]},{""start"":4,""end"":9,""text"":""स्कीम"",""labels"":[""NOUN""]},{""start"":10,""end"":12,""text"":""के"",""labels"":[""ADP""]},{""start"":13,""end"":15,""text"":""दो"",""labels"":[""NUM""]},{""start"":16,""end"":22,""text"":""हिस्से"",""labels"":[""NOUN""]},{""start"":22,""end"":23,""text"":""-"",""labels"":[""X""]},{""start"":23,""end"":30,""text"":""चैंपियन"",""labels"":[""ADJ""]},{""start"":31,""end"":38,""text"":""ओरिजिनल"",""labels"":[""ADJ""]},{""start"":39,""end"":49,""text"":""इक्विपमेंट"",""labels"":[""NOUN""]},{""start"":50,""end"":63,""text"":""मैन्युफैक्चरर"",""labels"":[""NOUN""]},{""start"":65,""end"":68,""text"":""OEM"",""labels"":[""PROPN""]},{""start"":70,""end"":78,""text"":""इंसेंटिव"",""labels"":[""NOUN""]},{""start"":79,""end"":84,""text"":""स्कीम"",""labels"":[""NOUN""]},{""start"":88,""end"":96,""text"":""व्हीकल्स"",""labels"":[""NOUN""]},{""start"":97,""end"":104,""text"":""पार्ट्स"",""labels"":[""NOUN""]},{""start"":85,""end"":87,""text"":""और"",""labels"":[""CONJ""]},{""start"":114,""end"":123,""text"":""इन्सेंटिव"",""labels"":[""NOUN""]},{""start"":124,""end"":129,""text"":""स्कीम"",""labels"":[""NOUN""]},{""start"":130,""end"":133,""text"":""हैं"",""labels"":[""VERB""]},{""start"":105,""end"":113,""text"":""चैम्पियन"",""labels"":[""ADJ""]}]",270.739,"PLI स्कीम के दो हिस्से-चैंपियन ओरिजिनल इक्विपमेंट मैन्युफैक्चरर (OEM) इंसेंटिव स्कीम और व्हीकल्स पार्ट्स चैम्पियन इन्सेंटिव स्कीम हैं।","2025-01-26T13:46:40.315049Z"
6,"1","2025-01-26T13:49:25.391401Z",144,"[{""start"":0,""end"":5,""text"":""इसमें"",""labels"":[""PRON""]},{""start"":6,""end"":11,""text"":""अदाणी"",""labels"":[""PROPN""]},{""start"":12,""end"":17,""text"":""ग्रुप"",""labels"":[""NOUN""]},{""start"":18,""end"":20,""text"":""की"",""labels"":[""ADP""]},{""start"":21,""end"":25,""text"":""FMCG"",""labels"":[""PROPN""]},{""start"":32,""end"":37,""text"":""अदाणी"",""labels"":[""PROPN""]},{""start"":26,""end"":31,""text"":""कंपनी"",""labels"":[""NOUN""]},{""start"":38,""end"":44,""text"":""विल्मर"",""labels"":[""PROPN""]},{""start"":48,""end"":51,""text"":""IPO"",""labels"":[""PROPN""]},{""start"":45,""end"":47,""text"":""ने"",""labels"":[""ADP""]},{""start"":52,""end"":54,""text"":""के"",""labels"":[""ADP""]},{""start"":55,""end"":59,""text"":""जरिए"",""labels"":[""ADP""]},{""start"":60,""end"":63,""text"":""फंड"",""labels"":[""NOUN""]},{""start"":64,""end"":70,""text"":""जुटाने"",""labels"":[""VERB""]},{""start"":71,""end"":73,""text"":""की"",""labels"":[""ADP""]},{""start"":74,""end"":80,""text"":""मंजूरी"",""labels"":[""NOUN""]},{""start"":81,""end"":86,""text"":""मांगी"",""labels"":[""VERB""]},{""start"":87,""end"":89,""text"":""है"",""labels"":[""VERB""]}]",115.184,"इसमें अदाणी ग्रुप की FMCG कंपनी अदाणी विल्मर ने IPO के जरिए फंड जुटाने की मंजूरी मांगी है।","2025-01-26T13:49:25.391416Z"
7,"1","2025-01-26T13:52:28.600246Z",145,"[{""start"":24,""end"":27,""text"":""COA"",""labels"":[""PROPN""]},{""start"":71,""end"":75,""text"":""NATA"",""labels"":[""PROPN""]},{""start"":0,""end"":7,""text"":""काउंसिल"",""labels"":[""NOUN""]},{""start"":11,""end"":22,""text"":""आर्किटेक्चर"",""labels"":[""NOUN""]},{""start"":8,""end"":10,""text"":""ऑफ"",""labels"":[""ADP""]},{""start"":29,""end"":31,""text"":""ने"",""labels"":[""ADP""]},{""start"":32,""end"":37,""text"":""नेशनल"",""labels"":[""ADJ""]},{""start"":38,""end"":48,""text"":""एप्टीट्यूड"",""labels"":[""NOUN""]},{""start"":49,""end"":54,""text"":""टेस्ट"",""labels"":[""NOUN""]},{""start"":55,""end"":57,""text"":""इन"",""labels"":[""ADP""]},{""start"":58,""end"":69,""text"":""आर्किटेक्चर"",""labels"":[""NOUN""]},{""start"":77,""end"":79,""text"":""के"",""labels"":[""ADP""]},{""start"":80,""end"":83,""text"":""लिए"",""labels"":[""ADP""]},{""start"":84,""end"":88,""text"":""होने"",""labels"":[""VERB""]},{""start"":89,""end"":93,""text"":""वाली"",""labels"":[""PART""]},{""start"":94,""end"":98,""text"":""पहली"",""labels"":[""ADJ""]},{""start"":102,""end"":107,""text"":""दूसरी"",""labels"":[""ADJ""]},{""start"":99,""end"":101,""text"":""और"",""labels"":[""CONJ""]},{""start"":108,""end"":115,""text"":""परीक्षा"",""labels"":[""NOUN""]},{""start"":116,""end"":118,""text"":""को"",""labels"":[""ADJ""]},{""start"":119,""end"":125,""text"":""स्थगित"",""labels"":[""VERB""]},{""start"":126,""end"":128,""text"":""कर"",""labels"":[""VERB""]},{""start"":129,""end"":133,""text"":""दिया"",""labels"":[""VERB""]},{""start"":134,""end"":136,""text"":""है"",""labels"":[""VERB""]}]",179.421,"काउंसिल ऑफ आर्किटेक्चर (COA) ने नेशनल एप्टीट्यूड टेस्ट इन आर्किटेक्चर (NATA) के लिए होने वाली पहली और दूसरी परीक्षा को स्थगित कर दिया है।","2025-01-26T13:52:28.600264Z"
8,"1","2025-01-26T13:57:03.410000Z",146,"[{""start"":0,""end"":3,""text"":""साल"",""labels"":[""NOUN""]},{""start"":9,""end"":13,""text"":""मॉडल"",""labels"":[""NOUN""]},{""start"":4,""end"":8,""text"":""1955"",""labels"":[""NUM""]},{""start"":45,""end"":48,""text"":""300"",""labels"":[""NUM""]},{""start"":104,""end"":108,""text"":""1100"",""labels"":[""NUM""]},{""start"":14,""end"":16,""text"":""की"",""labels"":[""ADP""]},{""start"":17,""end"":26,""text"":""स्पोर्ट्स"",""labels"":[""ADJ""]},{""start"":27,""end"":30,""text"":""कार"",""labels"":[""NOUN""]},{""start"":31,""end"":39,""text"":""मर्सिडीज"",""labels"":[""PROPN""]},{""start"":40,""end"":44,""text"":""बेंज"",""labels"":[""PROPN""]},{""start"":49,""end"":52,""text"":""SLR"",""labels"":[""PROPN""]},{""start"":54,""end"":75,""text"":""Mercedes-Benz 300 SLR"",""labels"":[""PROPN""]},{""start"":77,""end"":79,""text"":""एक"",""labels"":[""DET""]},{""start"":80,""end"":88,""text"":""प्राइवेट"",""labels"":[""ADJ""]},{""start"":89,""end"":94,""text"":""ऑक्शन"",""labels"":[""NOUN""]},{""start"":95,""end"":98,""text"":""में"",""labels"":[""ADP""]},{""start"":99,""end"":103,""text"":""करीब"",""labels"":[""ADV""]},{""start"":109,""end"":114,""text"":""करोड़"",""labels"":[""NUM""]},{""start"":115,""end"":120,""text"":""रुपए "",""labels"":[""NOUN""]},{""start"":121,""end"":136,""text"":""143 मिलियन डॉलर"",""labels"":[""NUM""]},{""start"":138,""end"":141,""text"":""में"",""labels"":[""ADP""]},{""start"":142,""end"":147,""text"":""नीलाम"",""labels"":[""VERB""]},{""start"":148,""end"":151,""text"":""हुई"",""labels"":[""VERB""]},{""start"":152,""end"":154,""text"":""है"",""labels"":[""VERB""]}]",268.343,"साल 1955 मॉडल की स्पोर्ट्स कार मर्सिडीज बेंज 300 SLR (Mercedes-Benz 300 SLR) एक प्राइवेट ऑक्शन में करीब 1100 करोड़ रुपए (143 मिलियन डॉलर) में नीलाम हुई है।","2025-01-26T13:57:03.410015Z"
9,"1","2025-01-26T13:59:06.491702Z",147,"[{""start"":0,""end"":2,""text"":""MF"",""labels"":[""PROPN""]},{""start"":6,""end"":10,""text"":""NBFC"",""labels"":[""PROPN""]},{""start"":3,""end"":5,""text"":""और"",""labels"":[""CONJ""]},{""start"":11,""end"":13,""text"":""का"",""labels"":[""ADP""]},{""start"":14,""end"":17,""text"":""लोन"",""labels"":[""NOUN""]},{""start"":18,""end"":21,""text"":""बढ़"",""labels"":[""VERB""]},{""start"":22,""end"":25,""text"":""रहा"",""labels"":[""VERB""]},{""start"":26,""end"":28,""text"":""है"",""labels"":[""VERB""]},{""start"":29,""end"":31,""text"":""और"",""labels"":[""CONJ""]},{""start"":32,""end"":41,""text"":""कॉर्पोरेट"",""labels"":[""ADJ""]},{""start"":42,""end"":47,""text"":""बॉन्ड"",""labels"":[""NOUN""]},{""start"":48,""end"":52,""text"":""जैसे"",""labels"":[""ADP""]},{""start"":53,""end"":60,""text"":""मार्केट"",""labels"":[""NOUN""]},{""start"":61,""end"":73,""text"":""इंस्ट्रूमेंट"",""labels"":[""NOUN""]},{""start"":74,""end"":76,""text"":""के"",""labels"":[""ADP""]},{""start"":77,""end"":81,""text"":""जरिए"",""labels"":[""ADP""]},{""start"":82,""end"":94,""text"":""इन्वेस्टमेंट"",""labels"":[""NOUN""]},{""start"":95,""end"":98,""text"":""बढ़"",""labels"":[""VERB""]},{""start"":99,""end"":102,""text"":""रहा"",""labels"":[""VERB""]},{""start"":103,""end"":105,""text"":""है"",""labels"":[""VERB""]}]",120.461,"MF और NBFC का लोन बढ़ रहा है और कॉर्पोरेट बॉन्ड जैसे मार्केट इंस्ट्रूमेंट के जरिए इन्वेस्टमेंट बढ़ रहा है।","2025-01-26T13:59:06.491717Z"
10,"1","2025-01-26T14:02:20.580649Z",148,"[{""start"":0,""end"":2,""text"":""इस"",""labels"":[""DET""]},{""start"":3,""end"":8,""text"":""महीने"",""labels"":[""NOUN""]},{""start"":9,""end"":11,""text"":""की"",""labels"":[""ADP""]},{""start"":12,""end"":18,""text"":""शुरुआत"",""labels"":[""NOUN""]},{""start"":24,""end"":29,""text"":""नेशनल"",""labels"":[""ADJ""]},{""start"":19,""end"":23,""text"":""में,"",""labels"":[""ADP""]},{""start"":30,""end"":36,""text"":""पेमेंट"",""labels"":[""NOUN""]},{""start"":37,""end"":47,""text"":""कॉर्पोरेशन"",""labels"":[""NOUN""]},{""start"":48,""end"":50,""text"":""ऑफ"",""labels"":[""ADP""]},{""start"":51,""end"":58,""text"":""इंडिया "",""labels"":[""PROPN""]},{""start"":59,""end"":63,""text"":""NPCI"",""labels"":[""PROPN""]},{""start"":65,""end"":67,""text"":""ने"",""labels"":[""ADP""]},{""start"":68,""end"":75,""text"":""वॉट्सऐप"",""labels"":[""PROPN""]},{""start"":76,""end"":79,""text"":""UPI"",""labels"":[""PROPN""]},{""start"":80,""end"":82,""text"":""के"",""labels"":[""ADP""]},{""start"":83,""end"":86,""text"":""लिए"",""labels"":[""ADP""]},{""start"":87,""end"":96,""text"":""एक्स्ट्रा"",""labels"":[""ADJ""]},{""start"":97,""end"":98,""text"":""6"",""labels"":[""NUM""]},{""start"":99,""end"":104,""text"":""करोड़"",""labels"":[""NUM""]},{""start"":105,""end"":111,""text"":""यूजर्स"",""labels"":[""NOUN""]},{""start"":112,""end"":114,""text"":""को"",""labels"":[""ADP""]},{""start"":115,""end"":121,""text"":""मंजूरी"",""labels"":[""NOUN""]},{""start"":122,""end"":124,""text"":""दी"",""labels"":[""VERB""]}]",192.452,"इस महीने की शुरुआत में, नेशनल पेमेंट कॉर्पोरेशन ऑफ इंडिया (NPCI) ने वॉट्सऐप UPI के लिए एक्स्ट्रा 6 करोड़ यूजर्स को मंजूरी दी।","2025-01-26T14:02:20.580661Z"
